Company,Ticker,Exchange,Yahoo,Closing Price
DISH Network Corporation,DISH,NASDAQ,True,7.43
Disruptive Acquistion Corporation I,DISA,NASDAQ,True,10.18
Ditech Networks,DITC,NASDAQ,False,
Diversa,DVSA,NASDAQ,False,
Diversey Holdings Ltd,DSEY,NASDAQ,True,8.35
Diversicare Healthcare Services,AVCA,NASDAQ,False,
Diversicare Healthcare Services Inc,DVCR,NASDAQ,False,
Diversified Healthcare Trust,DHC,NASDAQ,True,2.62
Diversified Healthcare Trust,DHCNL,NASDAQ,True,13.89
Diversified Restaurant Holdings Inc,SAUC,NASDAQ,False,
Dividend and Income Fund,DNI,NYSE,False,
Divx,DIVX,NASDAQ,False,
Dixie Group Inc,DXYN,NASDAQ,True,1.21
Djsp Enterprises,DJSPU,NASDAQ,False,
Djsp Enterprises,DJSPW,NASDAQ,False,
DLH Holdings Corporation,DLHC,NASDAQ,True,10.91
Dlh Holdings Corporation,TSTF,NASDAQ,False,
DLocal Ltd,DLO,NASDAQ,True,11.61
DMC Global Inc,BOOM,NASDAQ,True,17.88
Dmi Furniture,DMIF,NASDAQ,False,
DNB Financial Corporation,DNBF,NASDAQ,False,
DNP Select Income Fund Inc,DNP,NYSE,True,10.3
Docebo Inc,DCBO,NASDAQ,True,36.11
Docent,DCNT,NASDAQ,False,
DocGo Inc,DCGO,NASDAQ,True,9.5
Docucorp Intl,DOCC,NASDAQ,False,
Document Sciences Corp,DOCX,NASDAQ,False,
Documentum,DCTM,NASDAQ,False,
DocuSign Inc,DOCU,NASDAQ,True,58.48
Dogness International Corporation,DOGZ,NASDAQ,True,0.78
Dogness International Corporation,DOGZ,NASDAQ,True,0.78
Dolby Laboratories Inc,DLB,NYSE,True,83.5
Dole plc,DOLE,NYSE,True,13.86
Dollar General Corporation,DG,NYSE,True,155.85
Dollar Tree Inc,DLTR,NASDAQ,True,132.88
Dolphin Entertainment Inc,DLPN,NASDAQ,True,2.35
Doma Holdings Inc,DOMA,NYSE,True,0.27
Dominion Energy Inc,D,NYSE,True,53.29
Dominion Energy Inc,DRUA,NYSE,False,
Dominion Energy Inc Corporation,DCUE,NYSE,False,
Dominion Homes,DHOM,NASDAQ,False,
Dominion Resources Corporate Unit 2013 Series A,DCUA,NYSE,False,
Dominion Resources Corporate Unit 2013 Series B,DCUB,NYSE,False,
Dominos Pizza Inc,DPZ,NYSE,True,299.9
Domo Inc,DOMO,NASDAQ,True,14.41
Domtar Corporation,UFS,NYSE,False,
Donaldson Co,DCI,NYSE,True,60.6
Donegal Group Inc,DGICA,NASDAQ,True,15.74
Donegal Group Inc,DGICB,NASDAQ,True,14.56
Donnelley Financial Solutions Inc,DFIN,NYSE,True,46.89
DoorDash Inc,DASH,NYSE,True,69.97
Dorian LPG Ltd,LPG,NYSE,True,23.46
Dorman Products Inc,DORM,NASDAQ,True,83.59
Doubleclick,DCLK,NASDAQ,False,
DoubleLine Income Solutions Fund,DSL,NYSE,True,11.96
Doubleline Opportunities Credit Fund,DBL,NYSE,True,14.67
DoubleLine Yield Opportunities Fund,DLY,NYSE,True,14.36
Double-Take Software,DBTK,NASDAQ,False,
DoubleVerify Holdings Inc,DV,NYSE,True,35.39
Douglas Dynamics Inc,PLOW,NYSE,True,30.66
Douglas Elliman Inc,DOUG,NYSE,True,2.72
Douglas Emmett Inc,DEI,NYSE,True,12.56
DouYu International Holdings Ltd,DOYU,NYSE,True,1.08
Dova Pharmaceuticals Inc,DOVA,NASDAQ,False,
Dover Corp,DOV,NYSE,True,142.3
Dover Motorsports Inc,DVD,NYSE,False,
Dow Inc,DOW,NYSE,True,52.78
Dow Jones Industrial Average Issues Advance/Decline,TIKI,NYSE,False,
Dow Jones US Real Estate Index,RET,NYSE,False,
Doximity Inc,DOCS,NYSE,True,31.93
DP Cap Acquisition Corporation I,DPCS,NASDAQ,True,10.43
DP Cap Acquisition Corporation I,DPCSU,NASDAQ,True,10.3
DPCM Capital Inc,XPOA,NYSE,False,
Dr Reddys Laboratories Ltd,RDY,NYSE,True,56.99
Draftday Fantasy Sports,VGGL,NASDAQ,False,
DraftKings Inc,DKNG,NASDAQ,True,25.56
DraftKings Inc,DKNG,NASDAQ,True,25.56
Draganfly Inc,DPRO,NASDAQ,True,1.0
Dragon Victory International Ltd,LYL,NASDAQ,False,
Dragoneer Growth Opportunities Corp,DGNR,NYSE,False,
Dragoneer Growth Opportunities Corporation II,DGNS,NASDAQ,False,
Dragoneer Growth Opportunities Corporation III,DGNU,NASDAQ,False,
Dragonwave - Warrants,DRWIW,NASDAQ,False,
Draxis Health,DRAX,NASDAQ,False,
Drdgold Limited - American Depositary Share Representing Ten Underlying Ordinary Shares,DROOY,NASDAQ,False,
Drdgold Limited ADS,DROOD,NASDAQ,False,
Dream Finders Homes Inc,DFH,NASDAQ,True,21.59
Dreamworks Animation Skg,DWA,NASDAQ,False,
Drew Industries Incorporated  ($0.01 Par Value),DW,NYSE,False,
Dreyers GR Ice Cr,DRYR,NASDAQ,False,
Dri Corp.,TBUS,NASDAQ,False,
Dril Quip Inc,DRQ,NYSE,True,25.68
Drive Shack Inc,DS,NYSE,False,
Driven Brands Holdings Inc,DRVN,NASDAQ,True,26.91
Dropbox Inc,DBX,NASDAQ,True,23.63
DropCar Inc,DCAR,NASDAQ,False,
Drugstore.Com,DSCM,NASDAQ,False,
DryShips Inc,DRYS,NASDAQ,False,
DSP Group Inc,DSPG,NASDAQ,False,
DSS Inc,DSS,AMEX,True,0.199
DT Asia Investments Limited - Unit,CADTU,NASDAQ,False,
DT Midstream Inc,DTM,NYSE,True,49.15
DTE Energy Company,DTE,NYSE,True,111.97
DTE Energy Company,DTB,NYSE,True,22.8
DTE Energy Company,DTQ,NYSE,False,
DTE Energy Company,DTP,NYSE,False,
DTE Energy Company,DTG,NYSE,True,21.33
DTF Tax free Income 2028 Term Fund Inc,DTF,NYSE,True,10.8179
DTLR HOLDING,DTLR,NASDAQ,False,
DTRT Health Acquisition Corporation,DTRT,NASDAQ,False,
Dts,DTSI,NASDAQ,False,
Duck Creek Technologies Inc,DCT,NASDAQ,False,
Duckhorn Portfolio Inc,NAPA,NYSE,True,13.83
Ducommun Inc,DCO,NYSE,True,45.73
Duddell Street Acquisition Corporation,DSAC,NASDAQ,False,
Duddell Street Acquisition Corporation,DSACU,NASDAQ,False,
Duff and Phelps Select MLP and Midstream Energy Fund Inc,DSE,NYSE,False,
Duff and Phelps Utilities and Cap Bond Trust,DUC,NYSE,False,
Duff and Phelps Utility and Infrastructure Fund Inc,DPG,NYSE,True,13.0
Duke Energy Corp New,DUK,NYSE,True,92.0
Duke Energy Corporation,DUKB,NYSE,True,25.51
Duke Realty Corporation,DRE,NYSE,False,
Duluth Holdings Inc,DLTH,NASDAQ,True,6.4
Dun and Bradstreet Corp,DNB,NYSE,True,10.62
Dune Acquisition Corporation,DUNE,NASDAQ,True,9.98
Dunkin Brands Group Inc,DNKN,NASDAQ,False,
Duolingo Inc,DUOL,NASDAQ,True,157.34
Duos Technologies Group Inc,DUOT,NASDAQ,True,5.3
DuPont de Nemours Inc,DD,NYSE,True,70.44
Dupont Photomasks,DPMI,NASDAQ,False,
Dura Automotive Systems,DRRA,NASDAQ,False,
Duratek,DRTK,NASDAQ,False,
Durect Corp,DRRX,NASDAQ,True,5.75
Dutch Bros Inc,BROS,NYSE,True,30.24
Dutchfork Bancshares,DFBS,NASDAQ,False,
DWS Municipal Income Trust,KTF,NYSE,True,8.64
DWS Strategic Municipal Income Trust,KSM,NYSE,True,8.36
DXC Technology Company,DXC,NYSE,True,26.32
Dxi Energy Inc. Ordinary Shares (Canada) New,DXI,AMEX,False,
DXP Enterprises Inc,DXPE,NASDAQ,True,35.38
Dyadic International Inc,DYAI,NASDAQ,True,2.22
Dycom Industries Inc,DY,NYSE,True,110.05
Dynamics Research Corp.,DRCO,NASDAQ,False,
Dynamics Special Purpose Corporation,DYNS,NASDAQ,False,
Dynasil Corp of America,DYSL,NASDAQ,True,2.43
Dynatrace Inc,DT,NYSE,True,50.7
Dynatronics Corp,DYNT,NASDAQ,True,0.896
Dynavax Technologies Corp,DVAX,NASDAQ,True,11.81
Dyne Therapeutics Inc,DYN,NASDAQ,True,13.46
Dynex Capital Inc,DX,NYSE,True,12.03
Dyntek Wts A,DYTKW,NASDAQ,False,
DZS Inc,DZSI,NASDAQ,True,3.54
E Com Ventures,ECMV,NASDAQ,False,
E Home Household Service Holdings Ltd,EJH,NASDAQ,True,0.152
E Merge Technology Acquisition Corporation,ETAC,NASDAQ,False,
E Merge Technology Acquisition Corporation,ETACU,NASDAQ,False,
E Trade Financial Corp,ETFCP,NASDAQ,False,
E TRADE Financial Corporation,ETFC,NASDAQ,False,
E*Trade Financial,ETFCD,NASDAQ,False,
E.Piphany,EPNY,NASDAQ,False,
E2open Parent Holdings Inc,ETWO,NYSE,True,5.13
Eagle Bancorp Inc,EGBN,NASDAQ,True,23.38
Eagle Bancorp Montana,EBMTD,NASDAQ,False,
Eagle Bancorp Montana Inc,EBMT,NASDAQ,True,14.0
Eagle Bulk Shipping Inc,EGLE,NASDAQ,True,43.01
Eagle Capital Growth Fund Inc,GRF,AMEX,True,8.66
Eagle Financial Bancorp Inc,EFBI,NASDAQ,True,17.0761
Eagle Growth and Income Opportunities Fund,EGIF,NYSE,False,
Eagle Materials Inc,EXP,NYSE,True,168.42
Eagle Pharmaceuticals Inc,EGRX,NASDAQ,True,18.86
Eagle Point Credit Company Inc,ECCY,NYSE,False,
Eagle Point Credit Company Inc,ECCX,NYSE,True,24.23
Eagle Point Credit Company Inc,ECCW,NYSE,True,22.5
Eagle Point Credit Company Inc,ECC,NYSE,True,10.71
Eagle Point Income Company Inc,EIC,NYSE,True,13.81
Eagle Rock Energy Partners,EROCW,NASDAQ,False,
Eagle Rock Energy Partners,EROCR,NASDAQ,False,
Eagle Supply Grp.,EEGL,NASDAQ,False,
Eargo Inc,EAR,NASDAQ,True,5.05
Eargo Inc,EAR,NASDAQ,True,5.05
Earthlink Holdings Corp.,ELNK,NASDAQ,False,
Earthstone Energy Inc,ESTE,NYSE,True,13.3
East Penn Finl Corp,EPEN,NASDAQ,False,
East Resources Acquisition Company,ERES,NASDAQ,True,10.37
East Stone Acquisition Corporation,ESSC,NASDAQ,False,
East West Bancorp Inc,EWBC,NASDAQ,True,53.74
Easterly Government Properties Inc,DEA,NYSE,True,14.6
Eastern Bankshares Inc,EBC,NASDAQ,True,13.24
Eastern Company,EML,NASDAQ,True,16.94
Eastern Insurance Holdings - Common Stock,EIHI,NASDAQ,False,
Eastern Virginia Bankshares,EVBS,NASDAQ,False,
Eastgroup Properties Inc,EGP,NYSE,True,172.61
Eastman Chemical Co,EMN,NYSE,True,80.42
Eastman Kodak Company,KODK,NYSE,True,5.24
Eastside Distilling Inc,EAST,NASDAQ,True,3.32
Easylink Services,EASYD,NASDAQ,False,
Easylink Services Corp CL A,EASY,NASDAQ,False,
Easylink Services International Corp. - Class A,ESIC,NASDAQ,False,
Eaton Corp New,ETN,NYSE,True,187.82
Eaton Vance 2021 Target Term Trust,EHT,NYSE,False,
Eaton Vance Buy Write Strategies Fund,EXD,NYSE,True,9.5725
Eaton Vance California Municipal Bond Fund,EVM,AMEX,True,8.89
Eaton Vance California Municipal Income,CEV,AMEX,True,10.0129
Eaton Vance Corp,EV,NYSE,False,
Eaton Vance Enhanced Equity Income Fund,EOI,NYSE,True,15.72
Eaton Vance Enhanced Equity Income Fund II,EOS,NYSE,True,17.03
Eaton Vance Floating Rate 2022 Target Term Trust,EFL,NYSE,True,8.64
Eaton Vance Floating Rate Income Plus Fund,EFF,NYSE,False,
Eaton Vance Floating Rate Income Trust,EFT,NYSE,True,11.52
Eaton Vance Limited Duration Income Fund,EVV,AMEX,True,9.1828
Eaton Vance Municipal Bond Fund,EIM,AMEX,True,9.94
Eaton Vance Municipal Income 2028 Term Trust,ETX,NYSE,True,17.83
Eaton Vance Municipal Income Trust,EVN,NYSE,True,9.999
Eaton Vance National Municipal Opportunities Trust,EOT,NYSE,True,17.74
Eaton Vance New York Municipal Bond Fund,ENX,AMEX,True,9.41
Eaton Vance NextShares Trust II,EVFTC,NASDAQ,True,100.03
Eaton Vance NextShares Trust II Oaktree Diversified Credit,OKDCC,NASDAQ,True,100.06
Eaton Vance NY Muni Income Trust,EVY,AMEX,True,15.17
Eaton Vance Risk Managed Diversified Equity Income Fund,ETJ,NYSE,True,8.09
Eaton Vance Senior Floating Rate Trust,EFR,NYSE,True,11.4
Eaton Vance Senior Income,EVF,NYSE,True,5.317
Eaton Vance Short Duration Diversified Income Fund,EVG,NYSE,True,9.6
Eaton Vance Tax Advantaged Dividend Income Fund,EVT,NYSE,True,22.21
Eaton Vance Tax Advantaged Global Dividend Income Fund,ETG,NYSE,True,16.42
Eaton Vance Tax Advantaged Global Dividend Opp Fund,ETO,NYSE,True,22.46
Eaton Vance Tax Managed Buy Write Income Fund,ETB,NYSE,True,13.31
Eaton Vance Tax Managed Buy Write Opportunities Fund,ETV,NYSE,True,12.42
Eaton Vance Tax Managed Diversified Equity Income Fund,ETY,NYSE,True,11.98
Eaton Vance Tax Managed Global Buy Write Opportunities Fund,ETW,NYSE,True,8.2
Eaton Vance Tax Managed Global Diversified Equity Income Fund,EXG,NYSE,True,7.96
Ebang International Holdings Inc,EBON,NASDAQ,True,7.01
Ebix Inc,EBIX,NASDAQ,True,22.05
ECA Marcellus Trust I,ECT,NYSE,False,
Ecb Bancorp,ECBE,NASDAQ,False,
Echo Global Logistics Inc,ECHO,NASDAQ,False,
EchoStar Corporation,SATS,NASDAQ,True,17.22
EchoStar Corporation,SATSV,NASDAQ,False,
Eci Telecom Ltd,ECIL,NASDAQ,False,
Eclipsys Corp.,ECLP,NASDAQ,True,6.85
Ecoark Holdings Inc,ZEST,NASDAQ,False,
Ecofin Sustainable and Social Impact Term Fund,TEAF,NYSE,True,12.5
Ecolab Inc,ECL,NYSE,True,176.98
Ecollege Common St,ECLG,NASDAQ,False,
Ecology and Environment Inc,EEI,NASDAQ,False,
E-Commerce China Dangdang Inc. American Depositary Shares,DANG,NYSE,False,
E-Compass Acquisition Corp. - Ordinary Shares,ECAC,NASDAQ,False,
E-Compass Acquisition Corp. - Rights,ECACR,NASDAQ,False,
E-Compass Acquisition Corp. - Units,ECACU,NASDAQ,False,
Ecost.Com,ECST,NASDAQ,False,
Ecovyst Inc,ECVT,NYSE,True,10.82
ECP Environmental Growth Opportunities Corporation,ENNV,NASDAQ,False,
Edac Technologies Corp.,EDAC,NASDAQ,False,
EDAP TMS SA,EDAP,NASDAQ,True,9.03
Edci Holdings,EDCID,NASDAQ,False,
Edci Holdings,EDCI,NASDAQ,False,
Eddie Bauer Holdings,EBHI,NASDAQ,False,
Edelman Financial Grp. Inc. (The),EF,NASDAQ,False,
Eden Bioscience,EDEND,NASDAQ,False,
Edesa Biotech Inc,EDSA,NASDAQ,True,0.88
Edgar Online,EDGR,NASDAQ,False,
Edgar Online - Warrants,EDGRW,NASDAQ,False,
Edge Petroleum Corp,EPEX,NASDAQ,False,
Edge Petroleum Corp Ser A. Prf,EPEXP,NASDAQ,False,
Edge Therapeutics,EDGE,NASDAQ,False,
Edgewell Personal Care Company,EPC,NYSE,True,42.23
Edgewise Therapeutics Inc,EWTX,NASDAQ,True,10.29
Ediets.Com,DIET,NASDAQ,True,22.48
Ediets.Com,DIETD,NASDAQ,False,
Edify Acquisition Corporation,EAC,NASDAQ,True,10.47
Edison International,EIX,NYSE,True,68.57
Edison Nation Inc,EDNT,NASDAQ,False,
Edison Schools,EDSN,NASDAQ,False,
Editas Medicine Inc,EDIT,NASDAQ,True,9.6
Edoc Acquisition Corporation,ADOC,NASDAQ,True,10.93
EdtechX Holdings Acquisition Corporation II,EDTX,NASDAQ,True,11.0
Education Realty Trust,EDR,AMEX,True,22.53
Educational Development Corporation,EDUC,NASDAQ,True,1.19
Edwards Grp. Limited ADS,EVAC,NASDAQ,False,
Edwards Lifesciences Corp,EW,NYSE,True,83.96
Efjohnson Technologies,EFJI,NASDAQ,False,
Efuture Holding Inc. - Ordinary Shares,EFUT,NASDAQ,False,
EG Acquisition Corp,EGGF,NYSE,True,10.35
Egshares EM Strategic Opportunities Etf,EMSO,AMEX,False,
EGShares TCW EM Short Term Investment Grade Bond ETF,SEMF,NYSE,False,
E-House (China) Holdings Limited American Depositary Share,EJ,NYSE,False,
Eidos Therapeutics Inc,EIDX,NASDAQ,False,
Eiger Biopharmaceuticals Com,CLDN,NASDAQ,False,
Eiger BioPharmaceuticals Inc,EIGR,NASDAQ,True,0.9932
EJF Acquisition Corporation,EJFA,NASDAQ,False,
Ekso Bionics Holdings Inc,EKSO,NASDAQ,True,1.4
El Paso Electric Co,EE,NYSE,True,20.45
El Pollo Loco Holdings Inc,LOCO,NASDAQ,True,9.44
Elamex S.A. DE C.V.,ELAM,NASDAQ,False,
Elanco Animal Health Incorporated,ELAN,NYSE,True,9.35
Elanco Animal Health Incorporated,ELAT,NYSE,False,
Elastic NV,ESTC,NYSE,True,68.44
Elbit Systems Ltd,ESLT,NASDAQ,True,203.32
Elder Beerman Stores Corp,EBSC,NASDAQ,False,
Eldorado Gold Corp Ltd,EGO,NYSE,True,9.86
Eldorado Resorts Inc,ERI,NASDAQ,False,
Electrameccanica Vehicles Corporation,SOLO,NASDAQ,True,0.547
Electric City Corporation,ELCC,AMEX,False,
Electric Last Mile Solutions Inc,ELMS,NASDAQ,False,
Electro Energy Inc.,EEEID,NASDAQ,False,
Electro Rent Corp.,ELRC,NASDAQ,False,
Electro Scientific Industries,ESIO,NASDAQ,False,
Electro Sensors Inc,ELSE,NASDAQ,True,4.35
Electromed Inc,ELMD,AMEX,True,12.24
Electronic Arts Inc,EA,NASDAQ,True,127.11
Electronic Arts Inc.,ERTS,NASDAQ,False,
Electronics Boutique Hldgs,ELBO,NASDAQ,False,
Electronics For Imaging,EFII,NASDAQ,False,
Eledon Pharmaceuticals Inc,ELDN,NASDAQ,True,1.9
Element Solutions Inc,ESI,NYSE,True,18.76
Elements S&P Commodity Trends Indicator -- Total Return Etn,LSC,AMEX,False,
Elephant Talk Communication Corp. Delaware,ETAK,AMEX,False,
Elevate Credit Inc,ELVT,NYSE,False,
Elevation Oncology Inc,ELEV,NASDAQ,True,2.82
Eli Lilly and Co,LLY,NYSE,True,445.66
Eliem Therapeutics Inc,ELYM,NASDAQ,True,2.88
Elite Education Group International Ltd,EEIQ,NASDAQ,True,1.84
Elite Information Grp. Inc.,ELTE,NASDAQ,False,
Elixir Pharmaceuticals,ELXR,NASDAQ,False,
Elizabeth Arden,RDEN,NASDAQ,False,
Ellington Financial Inc,EFC,NYSE,True,13.22
Ellington Residential Mortgage REIT,EARN,NYSE,True,7.14
Elliott Opportunity II Corp,EOCW,NYSE,True,10.33
Ellomay Capital Ltd,ELLO,AMEX,True,16.7
Ellsworth Growth and Income Fund Ltd,ECF,AMEX,True,8.38
Elmira Savings Bank,ESBK,NASDAQ,False,
E-Loan,EELN,NASDAQ,False,
Elong ADS Representing 2 Ordinary Shares,LONG,NASDAQ,False,
Eloqua,ELOQ,NASDAQ,False,
Eloxx Pharmaceuticals Inc,ELOX,NASDAQ,True,6.13
Eloyalty Corp.,ELOY,NASDAQ,False,
Eltek Ltd,ELTK,NASDAQ,True,9.19
Elys Game Technology Corporation,ELYS,NASDAQ,True,0.5367
Emachines,EEEE,NASDAQ,False,
Emak Worldwide,EMAKQ,NASDAQ,False,
Embark Technology Inc,EMBK,NASDAQ,True,2.78
Embrex,EMBX,NASDAQ,False,
Emc Corp.,EMC,NYSE,True,24.7075
EMC Insurance Group Inc,EMCI,NASDAQ,False,
Emclaire Financial Corporation,EMCF,NASDAQ,False,
EMCOR Group Inc,EME,NYSE,True,176.52
EMCORE Corporation,EMKR,NASDAQ,True,0.7506
Emerald Holding Inc,EEX,NYSE,True,3.94
Emergent Biosolutions Inc,EBS,NYSE,True,8.39
Emergent Capital,EMG,NYSE,False,
Emerging Markets Horizon Corporation,HORIU,NASDAQ,False,
Emerson Electric Co,EMR,NYSE,True,84.07
Emerson Radio Corp,MSN,AMEX,True,0.5799
Emles Real Estate Credit ETF,REC,AMEX,True,20.11
Emmaus Life Sciences Inc,EMMA,NASDAQ,True,0.2675
Emmis Communications Corporation,EMMS,NASDAQ,True,2.61
Emmis Communications Corporation,EMMSV,NASDAQ,False,
Empire District Electric Company (The),EDE,NYSE,False,
Empire Resorts,NYNYD,NASDAQ,False,
Empire Resorts Inc,NYNY,NASDAQ,False,
Empire Resources,ERS,NASDAQ,False,
Empire State Realty Trust Inc,ESRT,NYSE,True,6.86
Employers Holdings Inc,EIG,NYSE,True,39.19
Empower Ltd,EMPW,NYSE,True,25.37
Empowerment & Inclusion Capital I Corp.,EPWR,NYSE,False,
Empresas Ica Soc Contrladora,ICA,NYSE,False,
Ems Technologies,ELMG,NASDAQ,False,
EMX Royalty Corporation,EMX,AMEX,True,1.84
Enact Holdings Inc,ACT,NASDAQ,True,25.88
Enanta Pharmaceuticals Inc,ENTA,NASDAQ,True,26.11
Enbridge Inc,ENB,NYSE,True,38.22
Enbridge Inc,ENBA,NYSE,True,25.4
Encana Corporation,ECA,NYSE,False,
Encompass Health Corporation,EHC,NYSE,True,63.75
Encore Bancshares,EBTX,NASDAQ,False,
Encore Capital Group Inc,ECPG,NASDAQ,True,49.4
Encore Medical,ENMC,NASDAQ,False,
Encore Wire Corporation,WIRE,NASDAQ,True,180.92
Encorium Grp.,ENCOD,NASDAQ,False,
Encysive Pharmaceuticals,ENCY,NASDAQ,False,
Endava plc,DAVA,NYSE,True,45.65
Endeavor Group Holdings Inc,EDR,NYSE,True,22.53
Endeavour Silver Corporation,EXK,NYSE,True,3.21
Endesa Americas S.A. American Depositary Share (Each Representing 30 Shares of ),EOCA,NYSE,False,
Endo International PLC,ENDP,NASDAQ,False,
Endoceutics - Common Shares,ENCX,NASDAQ,False,
Endochoice Holdings,GI,NYSE,False,
Endologix Inc,ELGX,NASDAQ,False,
ENDRA Life Sciences Inc,NDRA,NASDAQ,True,1.58
Endurance Acquisition Corporation,EDNC,NASDAQ,False,
Endurance International Group Holdings Inc,EIGI,NASDAQ,False,
Endurance Specialty Holdings Ltd,ENH,NYSE,False,
Enduro Royalty Trust Trust Units Representing Beneficial Interest IN The Trust,NDRO,NYSE,False,
Endwave Corp.,ENWV,NASDAQ,False,
Energem Corporation,ENCPU,NASDAQ,True,10.64
Energizer Holdings Inc,ENR,NYSE,True,33.67
Energous Corporation,WATT,NASDAQ,True,0.3108
Energy Focus Inc,EFOI,NASDAQ,True,0.4027
Energy Fuels Inc,UUUU,AMEX,True,6.42
Energy Hunter Resources,EHR,NASDAQ,False,
Energy Recovery Inc,ERII,NASDAQ,True,27.0
Energy Select Sector SPDR Fund,XLE,AMEX,True,81.78
Energy Transfer LP,ET,NYSE,True,12.89
Energy Transfer LP,ET,NYSE,True,12.89
Energy Transfer Partners,ETP,AMEX,False,
Energy West,EWSTD,NASDAQ,False,
Energy Xxi (Bermuda) Ltd,EXXID,NASDAQ,False,
Energysouth,ENSI,NASDAQ,False,
Enerkem Inc.,NRKM,NASDAQ,False,
Enernoc,ENOC,NASDAQ,False,
Enerpac Tool Group Corp,EPAC,NYSE,True,27.78
Enerplus Corporation,ERF,NYSE,True,14.79
Enersys,ENS,NYSE,True,104.37
Eneti Inc,NETI,NYSE,True,10.51
Enfusion Inc,ENFN,NYSE,True,8.4
EngageSmart Inc,ESMT,NYSE,True,18.45
Engine Gaming and Media Inc,GAME,NASDAQ,True,3.57
Engineered Support Systems,EASI,NASDAQ,True,21.115
ENGlobal Corp,ENG,NASDAQ,True,0.5259
ENI Spa,E,NYSE,True,28.39
Enjoy Technology Inc,ENJY,NASDAQ,False,
EnLink Midstream LLC,ENLC,NYSE,True,10.66
Enlivex Therapeutics Ltd,ENLV,NASDAQ,True,2.7
Ennis Inc,EBF,NYSE,True,21.11
Enochian Biosciences Inc,ENOB,NASDAQ,True,0.7415
Enova International Inc,ENVA,NYSE,True,51.98
Enovix Corporation,ENVX,NASDAQ,True,14.14
Enpath Medical,NPTH,NASDAQ,True,0.0003
Enphase Energy Inc,ENPH,NASDAQ,True,181.4
Enphys Acquisition Corp,NFYS,NYSE,True,10.44
EnPro Industries Inc,NPO,NYSE,True,119.25
Ensco Plc New,ESV,NYSE,False,
ENSERVCO Corporation,ENSV,AMEX,True,0.4131
Ensign Group Inc,ENSG,NASDAQ,True,93.15
Ensign Group Inc,ENSGV,NASDAQ,False,
Enstar Group Ltd,ESGR,NASDAQ,True,252.7
Enstar Group Ltd,ESGRO,NASDAQ,True,23.52
Enstar Grp. Limited,ESGRD,NASDAQ,False,
Ensysce Biosciences Inc,ENSC,NASDAQ,True,2.36
Entasis Therapeutics Holdings Inc,ETTX,NASDAQ,False,
Entegra Financial Corporation,ENFC,NASDAQ,False,
Entegris Inc,ENTG,NASDAQ,True,109.34
Entera Bio Ltd,ENTX,NASDAQ,True,0.8151
Entercom Communications Corp,ETM,NYSE,False,
Entergy Arkansas LLC,EAB,NYSE,False,
Entergy Arkansas LLC,EAE,NYSE,False,
Entergy Arkansas LLC,EAI,NYSE,True,22.445
Entergy Corp,ETR,NYSE,True,101.5
Entergy Louisiana LLC,ELU,NYSE,False,
Entergy Louisiana LLC,ELC,NYSE,True,22.6
Entergy Louisiana LLC New,ELJ,NYSE,False,
Entergy Mississippi 1ST Mtg Bds,EMQ,NYSE,False,
Entergy Mississippi LLC,EMP,NYSE,True,22.87
Entergy Texas Inc,EZT,NYSE,False,
Enteromedics,ETRM,NASDAQ,False,
Enteromedics,ETRME,NASDAQ,False,
Enterprise 4 0 Technology Acquisition Corporation,ENTF,NASDAQ,True,10.62
Enterprise 4 0 Technology Acquisition Corporation,ENTFU,NASDAQ,True,10.67
Enterprise Bancorp Inc,EBTC,NASDAQ,True,31.8
Enterprise Financial Services Corporation,EFSC,NASDAQ,True,43.0
Enterra Energy Trust - Trust Units,EENC,NASDAQ,False,
Entertainment Gaming Asia Incorporated,EGT,NASDAQ,False,
Enthusiast Gaming Holdings Inc,EGLX,NASDAQ,True,0.4269
Entorian Technologies Inc.,ENTND,NASDAQ,False,
Entrada Therapeutics Inc,TRDA,NASDAQ,True,14.67
Entravision Communications Corp,EVC,NYSE,True,4.66
Entree Resources Ltd,EGI,AMEX,False,
Entremed,ENMDD,NASDAQ,False,
Entrepreneur 30 Fund,ENTR,NASDAQ,True,11.8096
Entrust,ENTU,NASDAQ,False,
Envela Corporation,ELA,AMEX,True,7.67
Enveric Biosciences Inc,ENVB,NASDAQ,True,4.07
Envestnet Inc,ENV,NYSE,True,53.58
Environmental Impact Acquisition Corporation,ENVI,NASDAQ,False,
Environmental Impact Acquisition Corporation,ENVIU,NASDAQ,False,
Environmental Power,EPG,NASDAQ,False,
Envision Solar International Inc,EVSI,NASDAQ,False,
Envista Holdings Corporation,NVST,NYSE,True,33.45
Enviva Inc,EVA,NYSE,True,11.46
Enzo Biochem Inc,ENZ,NYSE,True,2.2
EOG Resources Inc,EOG,NYSE,True,116.15
Eon Communications,EONCD,NASDAQ,False,
Eon Labs,ELAB,NASDAQ,False,
Eos Energy Enterprises Inc,EOSE,NASDAQ,True,2.84
EP Medsystems,EPMD,NASDAQ,False,
EPAM Systems Inc,EPAM,NYSE,True,211.22
Epic Bancorp,EPIK,NASDAQ,False,
Epicor Software Corp.,EPIC,NASDAQ,False,
Epiphany Technology Acquisition Corporation,EPHY,NASDAQ,False,
Epiq Systems,EPIQ,NASDAQ,False,
Epix Pharmaceuticals,EPIXD,NASDAQ,False,
Epizyme Inc,EPZM,NASDAQ,False,
Epoch Holding Corp.,EPHC,NASDAQ,False,
