Company,Ticker,Exchange,Yahoo,Closing Price
Actinium Pharmaceuticals Inc,ATNM,AMEX,True,8.67
Actions Semiconductor Co.,ACTS,NASDAQ,False,
Actividentity Corp,ACTI,NASDAQ,False,
Activision Blizzard,ATVID,NASDAQ,False,
Activision Blizzard Inc,ATVI,NASDAQ,True,80.02
Activision Blizzard Inc,ATVI,NASDAQ,True,80.02
Actuant Corp,ATU,NYSE,False,
Actuate Corporation,ACTU,NASDAQ,False,
Actv,IATV,NASDAQ,False,
Acuity Brands Inc,AYI,NYSE,True,161.26
AcuityAds Holdings Inc,ATY,NASDAQ,True,1.58
Acumen Pharmaceuticals Inc,ABOS,NASDAQ,True,4.87
Acurx Pharmaceuticals Inc,ACXP,NASDAQ,True,2.91
Acushnet Holdings Corp,GOLF,NYSE,True,49.41
Acutus Medical Inc,AFIB,NASDAQ,True,0.9
ACV Auctions Inc,ACVA,NASDAQ,True,18.26
Adagio Therapeutics Inc,ADGI,NASDAQ,False,
Adamas Pharmaceuticals Inc,ADMS,NASDAQ,False,
Adamis Pharmaceuticals Corporation,ADMP,NASDAQ,True,2.04
Adams Diversified Equity Fund Inc,ADX,NYSE,True,16.15
Adams Golf,ADGF,NASDAQ,False,
Adams Natural Resources Fund Inc,PEO,NYSE,True,20.56
Adams Resources and Energy Inc,AE,AMEX,True,35.22
Adams Respiratory Therapeutics,ARXT,NASDAQ,False,
AdaptHealth Corporation,AHCO,NASDAQ,True,10.41
Adaptive Biotechnologies Corporation,ADPT,NASDAQ,True,7.37
Adaptive Insights,ADIN,NYSE,False,
Adara Acquisition Corp,ADRA,AMEX,False,
Adc Telecommunications,ADCTD,NASDAQ,False,
Adc Telecommunications New,ADCT,NASDAQ,True,2.5
ADC Therapeutics SA,ADCT,NYSE,True,2.5
ADD TEC Energy PLC,ADSE,NASDAQ,True,6.04
Addus HomeCare Corp,ADUS,NASDAQ,True,94.32
ADDvantage Technologies Group Inc,AEY,NASDAQ,True,0.6499
Ade,ADEX,NASDAQ,True,10.45
Adecoagro SA,AGRO,NYSE,True,9.45
Adept Technology,ADTK,NASDAQ,False,
Adesto Technologies Corporation,IOTS,NASDAQ,False,
Adeza Biomedical,ADZA,NASDAQ,False,
Adial Pharmaceuticals Inc,ADIL,NASDAQ,True,0.2689
Adicet Bio Inc,ACET,NASDAQ,True,5.67
Adient plc,ADNT,NYSE,True,37.38
Adit EdTech Acquisition Corp,ADEX,NYSE,True,10.45
ADiTx Inc,ADTX,NASDAQ,True,0.5999
Adma Biologics Inc,ADMA,NASDAQ,True,3.97
Adobe Inc,ADBE,NASDAQ,True,439.03
Adolor Corp.,ADLR,NASDAQ,False,
ADOMANI Inc,ADOM,NASDAQ,False,
Adstar Wts 12/16/2004,ADSTW,NASDAQ,False,
ADT Inc,ADT,NYSE,True,6.16
Adtalem Global Education Inc,ATGE,NYSE,True,42.13
AdTheorent Holding Company Inc,ADTH,NASDAQ,True,1.66
ADTRAN Inc,ADTN,NASDAQ,True,9.26
Aduro Biotech Inc,ADRO,NASDAQ,False,
Advance Auto Parts,AAP,NYSE,True,64.74
Advance Finl Bancorp,AFBC,NASDAQ,False,
Advanced Analogic Technologies,AATI,NASDAQ,False,
Advanced Battery Technologies,ABAT,NASDAQ,False,
Advanced Digital Information,ADIC,NASDAQ,False,
Advanced Disposal Services Inc,ADSW,NYSE,False,
Advanced Drainage Systems Inc,WMS,NYSE,True,107.52
Advanced Emissions Solutions Inc,ADES,NASDAQ,True,1.35
Advanced Energy Industries Inc,AEIS,NASDAQ,True,106.09
Advanced Environmental Recycling Technologies,AERTA,NASDAQ,False,
Advanced Fibre Communications,AFCI,NASDAQ,False,
Advanced Inhalation Therapies,AITPU,NASDAQ,False,
Advanced Merger Partners Inc,AMPI,NYSE,False,
Advanced Micro Devices Inc,AMD,NASDAQ,True,121.05
Advanced Micro Devices Inc,AMD,NASDAQ,True,121.05
Advanced Neuromodulation Systems,ANSI,NASDAQ,False,
Advancis Pharmaceutical,AVNC,NASDAQ,False,
AdvanSix Inc,ASIX,NYSE,True,36.46
Advanta Corp Class A,ADVNA,NASDAQ,False,
Advanta Corp Class B,ADVNB,NASDAQ,False,
Advantage Solutions Inc,ADV,NASDAQ,True,2.09
Advaxis Inc,ADXS,NASDAQ,True,1.1
Advent Technologies Holdings Inc,ADN,NASDAQ,True,0.7328
Adverum Biotechnologies Inc,ADVM,NASDAQ,True,1.47
Advisorshares Yieldpro Etf,YPRO,NASDAQ,False,
AEABridges Impact Corp,IMPX,NYSE,False,
AECOM,ACM,NYSE,True,83.02
Aegerion Pharmaceuticals,AEGR,NASDAQ,False,
Aegion Corporation,AEGN,NASDAQ,False,
Aeglea BioTherapeutics Inc,AGLE,NASDAQ,True,0.1294
Aegon Funding Company LLC,AEFC,NYSE,True,21.96
AEGON Insurance Group,AEG,NYSE,True,4.81
AEGON Insurance Group,AEG,NYSE,True,4.81
Aehr Test Systems,AEHR,NASDAQ,True,41.13
Aemetis Inc,AMTX,NASDAQ,True,6.02
AEON Biopharma Inc,AEON,NASDAQ,False,
Aep Industries Inc.,AEPI,NASDAQ,False,
Aequi Acquisition Corporation,ARBG,NASDAQ,True,10.16
Aercap Holdings NV,AER,NYSE,True,60.0
Aerie Pharmaceuticals Inc,AERI,NASDAQ,False,
Aero Grow Intl,AEROE,NASDAQ,False,
Aerocentury Corp,ACY,AMEX,False,
AeroClean Technologies Inc,AERC,NASDAQ,False,
